ოლქი - სუბიექტი,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,22,23,25,26,27,28,30,41
#44 მაჟ. ოლქი,"654
(2.24%)","10
(0.03%)","515
(1.76%)","26
(0.08%)","12448
(42.74%)","154
(0.52%)","17
(0.05%)","493
(1.69%)","679
(2.33%)","9
(0.03%)","14
(0.04%)","27
(0.09%)","9
(0.03%)","11
(0.03%)","26
(0.08%)","12
(0.04%)","292
(1%)","16
(0.05%)","37
(0.12%)","5
(0.01%)","67
(0.23%)","846
(2.9%)","16
(0.05%)","18
(0.06%)","12721
(43.68%)"
#45 მაჟ. ოლქი,"762
(3.32%)","4
(0.01%)","1106
(4.82%)","17
(0.07%)","4830
(21.07%)","163
(0.71%)","140
(0.61%)","1954
(8.52%)","800
(3.49%)","11
(0.04%)","11
(0.04%)","45
(0.19%)","10
(0.04%)","13
(0.05%)","17
(0.07%)","19
(0.08%)","286
(1.24%)","7
(0.03%)","28
(0.12%)","48
(0.2%)","41
(0.17%)","519
(2.26%)","11
(0.04%)","11
(0.04%)","12068
(52.65%)"
#46 მაჟ. ოლქი,"1260
(5.12%)","39
(0.15%)","831
(3.38%)","21
(0.08%)","4994
(20.32%)","879
(3.57%)","23
(0.09%)","334
(1.35%)","64
(0.26%)","60
(0.24%)","21
(0.08%)","53
(0.21%)","30
(0.12%)","44
(0.17%)","55
(0.22%)","20
(0.08%)","275
(1.11%)","23
(0.09%)","31
(0.12%)","11
(0.04%)","74
(0.3%)","48
(0.19%)","11
(0.04%)","17
(0.06%)","15348
(62.47%)"
#47 მაჟ. ოლქი,"1061
(4.6%)","13
(0.05%)","780
(3.38%)","18
(0.07%)","7241
(31.4%)","255
(1.1%)","26
(0.11%)","1131
(4.9%)","930
(4.03%)","6
(0.02%)","28
(0.12%)","30
(0.13%)","4
(0.01%)","44
(0.19%)","17
(0.07%)","33
(0.14%)","145
(0.62%)","18
(0.07%)","3
(0.01%)","2
(0%)","171
(0.74%)","1038
(4.5%)","16
(0.06%)","9
(0.03%)","10036
(43.53%)"
#48 მაჟ. ოლქი,"783
(3.46%)","9
(0.03%)","986
(4.36%)","22
(0.09%)","6501
(28.75%)","328
(1.45%)","78
(0.34%)","1096
(4.84%)","874
(3.86%)","8
(0.03%)","9
(0.03%)","20
(0.08%)","7
(0.03%)","27
(0.11%)","21
(0.09%)","24
(0.1%)","134
(0.59%)","25
(0.11%)","6
(0.02%)","1
(0%)","183
(0.8%)","1158
(5.12%)","30
(0.13%)","5
(0.02%)","10277
(45.44%)"
#49 მაჟ. ოლქი,"724
(3.42%)","8
(0.03%)","598
(2.82%)","26
(0.12%)","8185
(38.71%)","226
(1.06%)","15
(0.07%)","769
(3.63%)","967
(4.57%)","9
(0.04%)","13
(0.06%)","25
(0.11%)","9
(0.04%)","19
(0.08%)","22
(0.1%)","26
(0.12%)","114
(0.53%)","20
(0.09%)","5
(0.02%)","5
(0.02%)","105
(0.49%)","927
(4.38%)","17
(0.08%)","7
(0.03%)","8300
(39.26%)"
#50 მაჟ. ოლქი,"962
(3.17%)","25
(0.08%)","1504
(4.96%)","39
(0.12%)","9293
(30.65%)","784
(2.58%)","19
(0.06%)","1310
(4.32%)","789
(2.6%)","13
(0.04%)","26
(0.08%)","17
(0.05%)","11
(0.03%)","32
(0.1%)","27
(0.08%)","31
(0.1%)","242
(0.79%)","15
(0.04%)","8
(0.02%)","12
(0.03%)","302
(0.99%)","503
(1.65%)","25
(0.08%)","20
(0.06%)","14309
(47.19%)"
#51 მაჟ. ოლქი,"1455
(5.12%)","15
(0.05%)","751
(2.64%)","22
(0.07%)","7645
(26.92%)","1169
(4.11%)","17
(0.05%)","807
(2.84%)","779
(2.74%)","7
(0.02%)","15
(0.05%)","22
(0.07%)","10
(0.03%)","14
(0.04%)","37
(0.13%)","21
(0.07%)","444
(1.56%)","11
(0.03%)","4
(0.01%)","8
(0.02%)","216
(0.76%)","1315
(4.63%)","8
(0.02%)","5
(0.01%)","13601
(47.89%)"
#52 მაჟ. ოლქი,"625
(2.31%)","14
(0.05%)","481
(1.78%)","22
(0.08%)","7802
(28.9%)","446
(1.65%)","15
(0.05%)","1105
(4.09%)","1007
(3.73%)","11
(0.04%)","27
(0.1%)","30
(0.11%)","10
(0.03%)","26
(0.09%)","28
(0.1%)","29
(0.1%)","111
(0.41%)","7
(0.02%)","27
(0.1%)","25
(0.09%)","128
(0.47%)","842
(3.11%)","22
(0.08%)","12
(0.04%)","14139
(52.38%)"
#53 მაჟ. ოლქი,"327
(1.3%)","4
(0.01%)","305
(1.21%)","34
(0.13%)","1245
(4.95%)","203
(0.8%)","6
(0.02%)","557
(2.21%)","281
(1.11%)","6
(0.02%)","12
(0.04%)","24
(0.09%)","0
(0%)","21
(0.08%)","6
(0.02%)","42
(0.16%)","290
(1.15%)","3
(0.01%)","1
(0%)","7
(0.02%)","41
(0.16%)","326
(1.29%)","7
(0.02%)","10
(0.03%)","21378
(85.04%)"
